epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.625,1.35948,2.37698,1.61673,0.71044,0.75868,0.76543,0.54963,0.94763,0.83391,1.26409,0.00332555,0.00332555,0.00332555
2,488.619,1.23793,1.2907,1.45414,0.73434,0.73687,0.7807,0.54143,0.99277,0.89579,1.30717,0.00659296,0.00659296,0.00659296
3,721.935,1.29771,1.33433,1.50477,0.71415,0.71134,0.74767,0.46903,1.13015,1.02883,1.4286,0.00979437,0.00979437,0.00979437
4,954.975,1.37727,1.45362,1.56076,0.7362,0.66348,0.74324,0.48355,1.11372,1.00967,1.42128,0.009703,0.009703,0.009703
5,1186.32,1.3351,1.34653,1.52274,0.71327,0.72833,0.79179,0.51787,1.06319,0.93684,1.37274,0.009604,0.009604,0.009604
6,1417.15,1.3166,1.26815,1.50071,0.71817,0.76711,0.79651,0.53936,1.06126,0.8054,1.32561,0.009505,0.009505,0.009505
7,1647.89,1.28172,1.17493,1.47445,0.80844,0.80109,0.85485,0.57841,1.00508,0.74492,1.28562,0.009406,0.009406,0.009406
8,1878.93,1.26303,1.15041,1.46447,0.77552,0.80594,0.83926,0.58284,0.95644,0.72372,1.27127,0.009307,0.009307,0.009307
9,2110.16,1.23739,1.08884,1.44415,0.84476,0.82296,0.88157,0.61919,0.92509,0.67804,1.23957,0.009208,0.009208,0.009208
10,2341.98,1.21744,1.04936,1.4268,0.80717,0.8493,0.86522,0.61289,0.93119,0.66137,1.23903,0.009109,0.009109,0.009109
11,2573.21,1.20391,1.02327,1.42582,0.82899,0.84015,0.89024,0.62135,0.90677,0.61197,1.22806,0.00901,0.00901,0.00901
12,2804.54,1.17953,0.99107,1.40886,0.84082,0.86546,0.89929,0.64572,0.88993,0.59612,1.21814,0.008911,0.008911,0.008911
13,3035.65,1.16815,0.9431,1.39414,0.82945,0.86094,0.88801,0.63998,0.87091,0.59292,1.19364,0.008812,0.008812,0.008812
14,3267.35,1.15247,0.92058,1.38007,0.83905,0.86962,0.89915,0.65442,0.86875,0.5649,1.19482,0.008713,0.008713,0.008713
15,3498.69,1.13794,0.90239,1.36068,0.85651,0.87438,0.90972,0.67931,0.8238,0.54367,1.15015,0.008614,0.008614,0.008614
16,3729.49,1.11986,0.87966,1.35588,0.853,0.85253,0.8957,0.67241,0.82393,0.51606,1.15146,0.008515,0.008515,0.008515
17,3961.09,1.11441,0.85892,1.35949,0.88605,0.87523,0.92076,0.67479,0.81789,0.51477,1.16339,0.008416,0.008416,0.008416
18,4191.93,1.10608,0.84906,1.35162,0.87105,0.87183,0.91554,0.68507,0.83181,0.50022,1.16297,0.008317,0.008317,0.008317
19,4423.16,1.07988,0.82459,1.33269,0.86234,0.86837,0.90248,0.66958,0.82093,0.51294,1.16028,0.008218,0.008218,0.008218
20,4653.3,1.08661,0.80583,1.32842,0.87783,0.88328,0.92509,0.68262,0.8276,0.52845,1.16019,0.008119,0.008119,0.008119
21,4884.6,1.06091,0.79767,1.31797,0.85833,0.89473,0.91892,0.69332,0.79547,0.50668,1.13942,0.00802,0.00802,0.00802
22,5114.94,1.05938,0.78509,1.31389,0.87482,0.87822,0.91197,0.68091,0.81397,0.48995,1.13716,0.007921,0.007921,0.007921
23,5345.05,1.05527,0.77877,1.31091,0.90319,0.88054,0.92785,0.70068,0.78235,0.47457,1.12633,0.007822,0.007822,0.007822
24,5576.06,1.04358,0.76269,1.29945,0.8415,0.90702,0.92303,0.69136,0.78861,0.48021,1.13971,0.007723,0.007723,0.007723
25,5806.34,1.03126,0.74376,1.29369,0.87206,0.9162,0.93671,0.70196,0.79818,0.46276,1.13125,0.007624,0.007624,0.007624
26,6036.9,1.02781,0.73697,1.28876,0.87999,0.91095,0.93173,0.70429,0.78012,0.4547,1.12855,0.007525,0.007525,0.007525
27,6267.42,1.01411,0.72263,1.29346,0.87809,0.90177,0.9328,0.71072,0.77072,0.44837,1.11909,0.007426,0.007426,0.007426
28,6498.68,1.00839,0.72146,1.27963,0.88414,0.89519,0.93334,0.71144,0.77913,0.44814,1.12031,0.007327,0.007327,0.007327
29,6731.07,1.00588,0.71119,1.2778,0.88141,0.91128,0.93635,0.71794,0.75549,0.43871,1.10857,0.007228,0.007228,0.007228
30,6962.93,0.99397,0.69351,1.27237,0.89537,0.90595,0.93407,0.70908,0.76228,0.43429,1.10995,0.007129,0.007129,0.007129
31,7194.09,0.99107,0.69324,1.26326,0.87672,0.90235,0.93474,0.71716,0.75974,0.44607,1.10424,0.00703,0.00703,0.00703
32,7424.28,0.96791,0.6735,1.2593,0.89734,0.89339,0.93405,0.72599,0.7427,0.41943,1.10082,0.006931,0.006931,0.006931
33,7654.62,0.95929,0.66081,1.25097,0.89905,0.89523,0.93325,0.71875,0.74157,0.41976,1.09507,0.006832,0.006832,0.006832
34,7889,0.96613,0.66398,1.25153,0.89328,0.91354,0.93637,0.71921,0.75226,0.43093,1.09768,0.006733,0.006733,0.006733
35,8122.98,0.9623,0.65589,1.24604,0.88477,0.91805,0.94145,0.72696,0.72825,0.41246,1.07947,0.006634,0.006634,0.006634
36,8353.69,0.94164,0.64808,1.23537,0.89587,0.90891,0.9442,0.72893,0.72594,0.41478,1.08705,0.006535,0.006535,0.006535
