epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.877,1.33312,3.35322,1.54235,0.55943,0.51632,0.48575,0.29559,1.20479,1.75658,1.4402,0.00332555,0.00332555,0.00332555
2,194.905,1.36271,2.24765,1.51108,0.62871,0.52288,0.57876,0.35981,1.21371,1.5222,1.48779,0.00659296,0.00659296,0.00659296
3,284.87,1.40143,2.08625,1.53332,0.58654,0.52097,0.54256,0.31705,1.39495,1.6952,1.62089,0.00979437,0.00979437,0.00979437
4,383.001,1.44795,1.99911,1.56921,0.66315,0.63163,0.67147,0.40406,1.25496,1.32221,1.50382,0.009703,0.009703,0.009703
5,482.739,1.40595,1.7501,1.53263,0.58859,0.6287,0.6412,0.4007,1.17427,1.20951,1.44511,0.009604,0.009604,0.009604
6,577.04,1.3867,1.59593,1.50492,0.68584,0.67914,0.70056,0.43198,1.17691,1.20008,1.42493,0.009505,0.009505,0.009505
7,667.048,1.36234,1.45899,1.48555,0.75165,0.72603,0.76765,0.48695,1.12394,0.98134,1.35512,0.009406,0.009406,0.009406
8,757.86,1.32945,1.39606,1.46193,0.80661,0.77251,0.82826,0.53563,1.09195,0.85362,1.33929,0.009307,0.009307,0.009307
9,850.527,1.30817,1.31663,1.43998,0.79744,0.75396,0.82515,0.53729,1.03079,0.88842,1.30639,0.009208,0.009208,0.009208
10,940.548,1.30185,1.2933,1.43636,0.78267,0.78792,0.83649,0.55555,1.04428,0.83264,1.29689,0.009109,0.009109,0.009109
11,1033.97,1.28259,1.22855,1.43536,0.8238,0.80564,0.84994,0.58758,0.98053,0.77367,1.26534,0.00901,0.00901,0.00901
12,1129.99,1.2555,1.19135,1.41318,0.78894,0.8377,0.85556,0.58167,1.00151,0.73715,1.26798,0.008911,0.008911,0.008911
13,1221.07,1.25229,1.14774,1.39827,0.78231,0.81102,0.83935,0.58281,0.93703,0.75059,1.22002,0.008812,0.008812,0.008812
14,1310.56,1.23847,1.12238,1.38789,0.82351,0.80355,0.85885,0.58496,0.9965,0.73081,1.25608,0.008713,0.008713,0.008713
15,1400.27,1.22043,1.10772,1.37591,0.80885,0.85815,0.88091,0.59979,0.96623,0.6927,1.22666,0.008614,0.008614,0.008614
16,1489.64,1.20709,1.07489,1.36575,0.81038,0.83896,0.87801,0.60996,0.95981,0.67238,1.22045,0.008515,0.008515,0.008515
17,1579.73,1.20268,1.05313,1.36804,0.8249,0.85684,0.88922,0.62402,0.93367,0.67338,1.20591,0.008416,0.008416,0.008416
18,1672.77,1.19691,1.03105,1.36595,0.82369,0.84516,0.87557,0.60933,0.9176,0.67021,1.19925,0.008317,0.008317,0.008317
19,1770.87,1.17449,1.01174,1.34929,0.82855,0.82924,0.87037,0.61356,0.92792,0.63854,1.20196,0.008218,0.008218,0.008218
20,1869.87,1.18346,0.9832,1.34876,0.8103,0.85432,0.87814,0.60671,0.94761,0.65448,1.20101,0.008119,0.008119,0.008119
21,1969.93,1.16188,0.97078,1.33282,0.86755,0.84446,0.88999,0.63316,0.89473,0.62138,1.17665,0.00802,0.00802,0.00802
22,2067.44,1.1616,0.96876,1.33264,0.85773,0.85217,0.88815,0.62744,0.89007,0.62081,1.16899,0.007921,0.007921,0.007921
23,2166.18,1.15502,0.95109,1.33207,0.85151,0.85082,0.89212,0.63939,0.86162,0.61355,1.15387,0.007822,0.007822,0.007822
24,2264.18,1.1481,0.95355,1.31922,0.83587,0.84813,0.87628,0.62306,0.88788,0.60656,1.16956,0.007723,0.007723,0.007723
25,2361.39,1.14006,0.92849,1.32099,0.87063,0.84577,0.90686,0.65434,0.88935,0.57751,1.16657,0.007624,0.007624,0.007624
26,2459.81,1.13346,0.90764,1.31246,0.86663,0.8649,0.90777,0.64184,0.87192,0.56592,1.15508,0.007525,0.007525,0.007525
27,2556.63,1.11848,0.88821,1.31301,0.87848,0.85451,0.91101,0.66433,0.86325,0.54597,1.15042,0.007426,0.007426,0.007426
28,2653.73,1.11865,0.89837,1.31156,0.88944,0.84669,0.90839,0.65028,0.86583,0.55506,1.16363,0.007327,0.007327,0.007327
29,2751.13,1.11493,0.87981,1.30322,0.86822,0.8828,0.91206,0.66581,0.86165,0.54839,1.14833,0.007228,0.007228,0.007228
30,2848.97,1.11243,0.86822,1.29804,0.89341,0.86386,0.91189,0.65639,0.86229,0.53525,1.15036,0.007129,0.007129,0.007129
31,2945.51,1.10862,0.86579,1.29896,0.88755,0.88229,0.91569,0.66415,0.84692,0.54938,1.13804,0.00703,0.00703,0.00703
32,3042.66,1.09208,0.85027,1.28845,0.86812,0.88513,0.91973,0.6686,0.8435,0.51599,1.12831,0.006931,0.006931,0.006931
33,3138.9,1.08849,0.83313,1.28692,0.86526,0.87428,0.91211,0.66745,0.84278,0.53284,1.1268,0.006832,0.006832,0.006832
34,3236.21,1.08516,0.8318,1.27964,0.84649,0.87703,0.90426,0.66005,0.84098,0.55364,1.12763,0.006733,0.006733,0.006733
35,3333.78,1.08442,0.82557,1.28191,0.86312,0.88756,0.92358,0.67817,0.82461,0.51543,1.12246,0.006634,0.006634,0.006634
36,3430.33,1.06621,0.81925,1.27389,0.8543,0.89061,0.919,0.67455,0.81206,0.51162,1.11228,0.006535,0.006535,0.006535
37,3527.54,1.07122,0.8129,1.26812,0.87376,0.86959,0.9163,0.66994,0.82776,0.52304,1.12272,0.006436,0.006436,0.006436
38,3658.27,1.07157,0.80583,1.27188,0.89391,0.87155,0.91985,0.67753,0.80742,0.50704,1.10548,0.006337,0.006337,0.006337
39,3803.55,1.06888,0.7984,1.2692,0.8959,0.89099,0.93203,0.68697,0.81743,0.49736,1.10528,0.006238,0.006238,0.006238
40,3941.48,1.05532,0.79418,1.2633,0.87931,0.87208,0.91521,0.68209,0.80462,0.49993,1.10481,0.006139,0.006139,0.006139
41,4079.82,1.04962,0.79033,1.26176,0.87382,0.89896,0.9244,0.67491,0.82104,0.50272,1.10684,0.00604,0.00604,0.00604
42,4206.49,1.05206,0.77804,1.26021,0.87228,0.90282,0.92545,0.6831,0.79593,0.49037,1.09545,0.005941,0.005941,0.005941
43,4310.55,1.04238,0.77808,1.25737,0.89141,0.87193,0.91781,0.68231,0.79529,0.49332,1.0924,0.005842,0.005842,0.005842
44,4420.75,1.03885,0.76734,1.24957,0.86002,0.90078,0.91582,0.67828,0.80248,0.47574,1.09449,0.005743,0.005743,0.005743
45,4543.09,1.02957,0.75995,1.24812,0.88695,0.88818,0.92185,0.68249,0.7952,0.4771,1.08841,0.005644,0.005644,0.005644
46,4686.35,1.02834,0.75579,1.24777,0.8795,0.91385,0.92895,0.68487,0.78656,0.47406,1.0882,0.005545,0.005545,0.005545
47,4822.57,1.0202,0.75276,1.24472,0.88703,0.90304,0.92846,0.68715,0.78502,0.47078,1.09071,0.005446,0.005446,0.005446
48,4956.97,1.02022,0.75084,1.24212,0.8828,0.90007,0.92994,0.69157,0.78786,0.47315,1.09578,0.005347,0.005347,0.005347
49,5099.38,1.01641,0.74819,1.23788,0.87943,0.89731,0.92737,0.69642,0.78085,0.4741,1.08753,0.005248,0.005248,0.005248
50,5238.7,1.01896,0.74364,1.24008,0.85879,0.89439,0.92066,0.68403,0.79596,0.47392,1.09314,0.005149,0.005149,0.005149
51,5347.27,1.0082,0.73779,1.23285,0.87836,0.89716,0.92939,0.69275,0.77613,0.46626,1.08091,0.00505,0.00505,0.00505
52,5455.19,1.01383,0.73284,1.23473,0.88576,0.9043,0.92742,0.69343,0.77746,0.45926,1.08163,0.004951,0.004951,0.004951
53,5557.73,1.00275,0.72754,1.23372,0.87997,0.9008,0.92697,0.69761,0.77167,0.46077,1.08425,0.004852,0.004852,0.004852
54,5659.46,1.00475,0.71855,1.23269,0.88795,0.89695,0.92796,0.70304,0.76927,0.45077,1.07855,0.004753,0.004753,0.004753
55,5764.72,0.99856,0.70538,1.22339,0.87892,0.89163,0.92636,0.7014,0.76817,0.45586,1.08103,0.004654,0.004654,0.004654
56,5870.12,0.99123,0.70502,1.22056,0.87179,0.89735,0.92895,0.7049,0.76478,0.4504,1.0728,0.004555,0.004555,0.004555
57,5981.39,0.99138,0.71134,1.22205,0.88318,0.90733,0.93117,0.70246,0.76543,0.45406,1.07349,0.004456,0.004456,0.004456
58,6088.69,0.98708,0.70652,1.21701,0.88991,0.89736,0.92866,0.70211,0.75427,0.45516,1.06973,0.004357,0.004357,0.004357
59,6197.22,0.97685,0.69981,1.21509,0.88479,0.89804,0.92821,0.69896,0.76422,0.44759,1.07928,0.004258,0.004258,0.004258
60,6307.43,0.97776,0.69884,1.21631,0.88813,0.89382,0.92943,0.70359,0.76705,0.4465,1.07535,0.004159,0.004159,0.004159
61,6414.71,0.97886,0.68568,1.20734,0.89308,0.89464,0.92951,0.70226,0.76315,0.4473,1.07224,0.00406,0.00406,0.00406
62,6522.88,0.97164,0.68915,1.20497,0.89436,0.9039,0.93515,0.70602,0.75347,0.44246,1.06785,0.003961,0.003961,0.003961
63,6631.28,0.96294,0.68633,1.2005,0.88115,0.90548,0.93188,0.70581,0.75732,0.43439,1.06837,0.003862,0.003862,0.003862
64,6737.62,0.95608,0.67613,1.19891,0.88909,0.91305,0.93812,0.70841,0.74888,0.42783,1.06007,0.003763,0.003763,0.003763
65,6843.87,0.9484,0.67105,1.19954,0.90233,0.89495,0.93253,0.70694,0.75374,0.43111,1.06913,0.003664,0.003664,0.003664
66,6949.75,0.95327,0.6671,1.19955,0.89583,0.89042,0.93214,0.70805,0.74894,0.43399,1.06277,0.003565,0.003565,0.003565
67,7054.39,0.93468,0.65367,1.19476,0.87778,0.90271,0.93423,0.71235,0.74965,0.4308,1.06181,0.003466,0.003466,0.003466
68,7159.36,0.93543,0.65426,1.18553,0.89664,0.89593,0.92776,0.70361,0.75379,0.42831,1.06753,0.003367,0.003367,0.003367
69,7263.55,0.94435,0.65423,1.18951,0.90155,0.90107,0.93535,0.70769,0.74829,0.42624,1.06241,0.003268,0.003268,0.003268
70,7371.2,0.93502,0.64604,1.18401,0.9036,0.90368,0.93512,0.70436,0.75063,0.4254,1.05773,0.003169,0.003169,0.003169
71,7480.71,0.92618,0.64201,1.17985,0.91207,0.90083,0.93305,0.71086,0.7377,0.42205,1.05481,0.00307,0.00307,0.00307
72,7588.18,0.93254,0.64723,1.18249,0.89821,0.89212,0.93155,0.71168,0.74361,0.42234,1.05963,0.002971,0.002971,0.002971
73,7689.79,0.93278,0.64047,1.18314,0.90816,0.89102,0.93263,0.71266,0.7395,0.42232,1.0561,0.002872,0.002872,0.002872
74,7793.93,0.92008,0.64225,1.17714,0.89978,0.8911,0.93659,0.71074,0.74149,0.41666,1.05902,0.002773,0.002773,0.002773
75,7897.35,0.91681,0.62577,1.17625,0.8883,0.90621,0.93424,0.71206,0.73525,0.41675,1.05463,0.002674,0.002674,0.002674
76,8002.71,0.91612,0.62847,1.17901,0.90819,0.90208,0.93718,0.71296,0.73457,0.42063,1.05407,0.002575,0.002575,0.002575
77,8104.39,0.90276,0.61994,1.1697,0.89027,0.90648,0.93609,0.71581,0.73645,0.41827,1.05374,0.002476,0.002476,0.002476
78,8208.92,0.90577,0.61545,1.1673,0.8991,0.89987,0.93464,0.71252,0.73794,0.42276,1.05944,0.002377,0.002377,0.002377
79,8307.44,0.90243,0.61452,1.16516,0.90413,0.89494,0.93727,0.71501,0.7337,0.42075,1.05369,0.002278,0.002278,0.002278
