epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.111,1.35204,2.36941,1.52574,0.73851,0.70622,0.76652,0.5349,0.96787,0.91127,1.23724,0.00332555,0.00332555,0.00332555
2,289.196,1.28068,1.29314,1.42014,0.59958,0.53022,0.57818,0.3699,1.17798,1.55601,1.44822,0.00659296,0.00659296,0.00659296
3,433.017,1.3793,1.42263,1.49813,0.65073,0.55637,0.60388,0.34613,1.36827,1.56844,1.56464,0.00979437,0.00979437,0.00979437
4,580.553,1.46199,1.57518,1.56748,0.61081,0.59883,0.61519,0.3676,1.37169,1.35602,1.66215,0.009703,0.009703,0.009703
5,729.408,1.41164,1.42797,1.5302,0.73991,0.7264,0.77471,0.48639,1.10533,0.96752,1.36275,0.009604,0.009604,0.009604
6,877.748,1.38375,1.34839,1.50588,0.71237,0.67983,0.71331,0.45917,1.14363,1.01669,1.39731,0.009505,0.009505,0.009505
7,1021.95,1.34742,1.2702,1.47407,0.78417,0.80481,0.83294,0.5613,1.04691,0.75755,1.28892,0.009406,0.009406,0.009406
8,1165.08,1.32009,1.22328,1.46144,0.76025,0.75087,0.79901,0.53289,1.03521,0.8469,1.31076,0.009307,0.009307,0.009307
9,1307.83,1.29586,1.15392,1.4379,0.80333,0.80276,0.84909,0.58326,0.97876,0.73107,1.25587,0.009208,0.009208,0.009208
10,1450.82,1.27423,1.12159,1.42178,0.81793,0.80483,0.88192,0.60847,0.95883,0.66767,1.22688,0.009109,0.009109,0.009109
11,1593.56,1.25886,1.07491,1.42025,0.83057,0.78645,0.84495,0.58129,0.97448,0.69125,1.24967,0.00901,0.00901,0.00901
12,1736.06,1.2327,1.04795,1.3989,0.80134,0.85938,0.88297,0.61885,0.91374,0.59546,1.19049,0.008911,0.008911,0.008911
13,1879.89,1.22129,1.01772,1.38158,0.84439,0.82326,0.88029,0.626,0.91434,0.63771,1.20324,0.008812,0.008812,0.008812
14,2017.37,1.21144,0.98368,1.37182,0.85493,0.87055,0.90206,0.64925,0.90161,0.5678,1.19492,0.008713,0.008713,0.008713
15,2156.83,1.19182,0.97503,1.35971,0.86642,0.85096,0.90962,0.63917,0.91041,0.56961,1.19286,0.008614,0.008614,0.008614
16,2313.84,1.17865,0.94419,1.34912,0.85346,0.85302,0.8934,0.63424,0.92714,0.5699,1.19454,0.008515,0.008515,0.008515
17,2500.23,1.17391,0.92393,1.34708,0.8737,0.86867,0.91169,0.66054,0.85913,0.56507,1.15552,0.008416,0.008416,0.008416
18,2655.73,1.1678,0.91487,1.34499,0.86602,0.85998,0.91801,0.66337,0.88585,0.54122,1.16058,0.008317,0.008317,0.008317
19,2803.68,1.13799,0.89301,1.32315,0.86803,0.88624,0.91609,0.66309,0.86731,0.52077,1.15424,0.008218,0.008218,0.008218
20,2951.89,1.13626,0.86086,1.32248,0.8571,0.83337,0.90721,0.65434,0.88561,0.55091,1.16188,0.008119,0.008119,0.008119
21,3100.21,1.11863,0.85249,1.30789,0.87569,0.87478,0.90911,0.6666,0.86317,0.52104,1.14972,0.00802,0.00802,0.00802
22,3248.42,1.11942,0.85462,1.31025,0.88136,0.86948,0.91627,0.67697,0.83492,0.51387,1.12459,0.007921,0.007921,0.007921
23,3396.37,1.10989,0.8383,1.30778,0.87364,0.88497,0.92939,0.68876,0.80889,0.49295,1.10781,0.007822,0.007822,0.007822
24,3544.9,1.10394,0.82798,1.28983,0.8518,0.86723,0.90388,0.66661,0.82453,0.51696,1.11904,0.007723,0.007723,0.007723
25,3699.51,1.08716,0.80034,1.2889,0.87765,0.88188,0.92694,0.69724,0.8247,0.4836,1.11795,0.007624,0.007624,0.007624
26,3854.49,1.08743,0.78426,1.28559,0.88468,0.90386,0.93568,0.69904,0.82342,0.4696,1.11962,0.007525,0.007525,0.007525
27,4009.3,1.07075,0.77326,1.27859,0.88638,0.89429,0.92957,0.69097,0.79621,0.47053,1.1017,0.007426,0.007426,0.007426
28,4164.49,1.06889,0.78228,1.27585,0.87491,0.8726,0.92487,0.69307,0.79838,0.48639,1.10218,0.007327,0.007327,0.007327
